"auth-id","title","teacher","day","time","classroom","place"
"ΕΠ0145","Αθλητικές Κακώσεις","Παπαβασιλείου","Δευτέρα","18.30-20.00","ΤΑΞΥΠ2","ΑΠΘ"
"098","Αθλητική Καρδιολογία","Δεληγιάννης Α.","Τρίτη","12.30-14.00","Αίθουσα 1 ","Θέρμης"
"088","Αξιολόγηση Δύναμης & Νευρομυϊκός έλεγχος","Κοτζαμανίδης Χ.","Τετάρτη","18.30-20.00","ΤΑΞΥΠ2","ΑΠΘ"
"ΕΠ0122","Βιοχημεία της	Άσκησης","Κουτλιάνος Ν.","Πέμπτη","15.00-16.30","Αίθουσα 1","Θέρμης"
"024","Ειδικά Θέματα Ολυμπιακών	Αγώνων","Καϊμακάμης Β.","Πέμπτη","15.00-16.30","Νησίδα","Θέρμης"
"ΕΠ0146","Εργομετρία","Μεταξάς Θ.","Δευτέρα","12.30-14.00","Αίθουσα 2","Θέρμης"
"038","Εφαρμοσμένη	Αθλητιατρική","Κουϊδή Ε.","Τρίτη","12.30-14.00","Αίθουσα 2","Θέρμης"
"075","Κοινωνική Αθλητική	Ψυχολογία","Δογάνης	Γ.","Δευτέρα","16.45-18.15","ΤΑΞΥΠ 1","ΑΠΘ"
"ΕΠ0132","Λειτουργική Ανατομική","Κουτλιάνος Ν.","Δευτέρα","12.30-14.00","ΤΑΞΥΠ 1","ΑΠΘ"
"ΕΠ0159","Μέθοδοι	Έρευνας	και Στατιστική ","Μπαρκούκης Β.","Τρίτη","18.30-20.00","ΤΑΞΥΠ 2","ΑΠΘ"
"ΕΠ0160","Νέες	Τεχνολογίες στον Αθλητισμό","Κόλλιας Η.","Πέμπτη","18.30-20.00","Αμφιθέατρο","Θέρμης"
"ΕΠ0152","Προσαρμοσμένη Φυσική Δραστηριότητα","Τσιμάρας 	Β.","Τρίτη","18.30-20.00","Αμφιθέατρο","Θέρμης"
"042","Πρώτες βοήθειες – Παθολογία Αθλουμένων","Κουϊδή Ε.","Τρίτη","16.45-18.15","ΤΑΞΥΠ	4","ΑΠΘ"
